"Story","Title","Result","Date","Stability","Duration (s)"
"Radio Button","Radio Button","SUCCESS","2022-03-27T19:17:54.589-05:00[America/Bogota]","0.0","25.12"
"Seleccion de checkbox","Seleccionar 2 checkbox","SUCCESS","2022-03-27T19:17:17.892-05:00[America/Bogota]","0.0","34.22"
"Text box","TEXT BOX","SUCCESS","2022-03-27T19:18:20.7-05:00[America/Bogota]","0.0","40.77"
"Eliminar Web Tables","Eliminar Web Tables","SUCCESS","2022-03-27T19:19:02.347-05:00[America/Bogota]","0.0","36.88"
